"Timestamp","Gender","Age","What University/College do you attend?","What is your year of studies?","What faculty are you in?","What is you Post Secondary academic goal?","How often do you use ChatGPT?","Do you think ChatGPT is academically beneficial?","In what circumstances should ChatGPT be used? (select all that apply)","With the controversy surrounding the use of ChatGPT, there is a lot of blame being thrown around. In your opinion, who/what is to blame for the ethical/moral issues?","How often do you think the use of ChatGPT in the academic/professional world is ethical?","In the long run, do you think the use of ChatGPT will be helpful or harmful to society?","Do you support the use of ChatGPT?","Do you have any further comments and/or concerns on the topic?"
"2023/03/07 6:27:13 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Daily","4","For completing assignments/homework;For assistance on quizzes/tests;As a research tool","Students are to blame;Chat GPT itself is to blame","Sometimes","2","Yes","N/A"
"2023/03/07 6:36:33 p.m. AST","Mp ","Under 20","Waterloo","Year 1","Business","Bachelor's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Always","3","I don't care","No"
"2023/03/07 6:37:18 p.m. AST","Male","Under 20","Sheridan College ","Year 2","Other","Other","Never","4","For completing assignments/homework;For assistance on quizzes/tests;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Sometimes","3","Yes",""
"2023/03/07 6:40:22 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","A few times a week","4","Editing work;For assistance on quizzes/tests;As a research tool","Nobody is to blame","Sometimes","4","Yes",""
"2023/03/07 6:43:19 p.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Science","Other","Rarely","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Chat GPT itself is to blame","Often","2","Yes",""
"2023/03/07 6:43:20 p.m. AST","Male","Under 20","York University ","Year 1","Arts","Bachelor's degree","Never","3","It shouldn't be used","The University/Education System is to blame","Rarely","1","No","No "
"2023/03/07 6:52:24 p.m. AST","Female","20-24","tmu","Year 1","Science","Bachelor's degree","Never","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers)","The University/Education System is to blame","Often","4","I don't care",""
"2023/03/07 6:54:05 p.m. AST","Male","20-24","TMU","Year 3","Engineering","Bachelor's degree","A few times a week","5","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Sometimes","4","Yes","I feel like in the future AI tools like chatgpt are gonna be an incredibly useful skill to have. You are either good at using it to get tasks done or are good at developing it, either skill will be in demand in the future. "
"2023/03/07 6:55:57 p.m. AST","Male","20-24","Toronto Metropolitan University ","Year 2","Business","Bachelor's degree","Rarely","5","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Always","5","Yes",""
"2023/03/07 7:03:03 p.m. AST","Female","25-29","Queens University ","Year 5 and up","Education","Doctorate","Never","3","For completing assignments/homework;As a research tool","Students are to blame","Sometimes","3","I don't care",""
"2023/03/07 7:04:31 p.m. AST","Male","Under 20","University of Ottawa","Year 1","Science","Bachelor's degree","A few times a week","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame;The University/Education System is to blame","Sometimes","4","Yes","Chat GPT is amazing for research and editing work!"
"2023/03/07 7:06:04 p.m. AST","Female","Under 20","Mcmaster university ","Year 4","Arts","Master's degree","Never","4","Editing work;For completing assignments/homework;As a research tool","The University/Education System is to blame","Sometimes","3","I don't care",""
"2023/03/07 7:07:56 p.m. AST","Male","Under 20","Ryerson ","Year 1","Business","Master's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Teachers/Professors are to blame;The University/Education System is to blame","Always","5","Yes","No"
"2023/03/07 7:15:01 p.m. AST","Male","Under 20","University of Ottawa/Université d'Ottawa","Year 1","Other","Bachelor's degree","A few times a week","4","Editing work;For teaching and educating others (perhaps used by teachers)","Students are to blame","Sometimes","3","Yes","ChatGPT is a great resource for students to edit work and request feedback. I myself was just using it to request feedback on a writing piece before submitting it to a professor. Additionally, it's great for learning, I often use it to explain certain topics to me by instructing it to explain it as if its explaining the subject to a 4 year old. While ChatGPT may be used unethically to commit academic fraud it is an amazing tool for students to use if used ethically and correctly. "
"2023/03/07 7:17:06 p.m. AST","Female","25-29","Waterloo ","Year 4","Law","Doctorate","Never","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Rarely","2","I don't care",""
"2023/03/07 7:18:16 p.m. AST","Male","Under 20","George Brown College","Year 1","Business","Bachelor's degree","Never","5","Editing work;As a research tool;For completing tasks and responsibilities in the work place","Students are to blame","Rarely","4","I don't care","No "
"2023/03/07 7:19:17 p.m. AST","Female","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame;Chat GPT itself is to blame","Rarely","4","I don't care",""
"2023/03/07 7:19:57 p.m. AST","Male","25-29","University of waterloo ","Year 5 and up","Other","Master's degree","A few times a week","4","As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Sometimes","5","Yes","The main concern with ChatGPT is the idea of of plagiarism, but it can be used to make large and tedious tasks less intensive and to speed up smaller redundant tasks"
"2023/03/07 7:20:41 p.m. AST","Female","Under 20","University of Ottawa","Year 1","Science","Doctorate","A few times a month","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Often","3","I don't care",""
"2023/03/07 7:22:30 p.m. AST","Male","Under 20","University of Guelph","Year 1","Engineering","Master's degree","A few times a week","5","Editing work;As a research tool","Nobody is to blame","Sometimes","3","No",""
"2023/03/07 7:27:54 p.m. AST","Male","Under 20","Toronto Met","Year 1","Science","Master's degree","A few times a month","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Often","4","Yes",""
"2023/03/07 7:29:24 p.m. AST","Male","Under 20","York university ","Year 1","Law","Bachelor's degree","A few times a month","4","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Often","4","Yes",""
